disease	node_num	prob_mean	zscore	zscore_mod
Intracranial Arteriosclerosis	99	0.00113169857149745	2.44581818052409	3.77379104870464
Coronary Restenosis	90	0.00110571736159371	2.35379768527604	3.64342054452003
Cerebral Palsy	63	0.00110201255757508	2.34067597532277	3.62483029527435
HIV-Associated Lipodystrophy Syndrome	31	0.00109961065790136	2.33216890431528	3.61277785920138
Arsenic Poisoning	36	0.00109591521301148	2.31908034261285	3.59423457290849
Peripheral Arterial Disease	91	0.00108710287983895	2.2878687375401	3.55001537284033
Aneurysm, Dissecting	40	0.00107980846465714	2.26203330877981	3.51341289787835
Carotid Stenosis	109	0.00107736244704981	2.25336998045728	3.50113908346037
Lipodystrophy	63	0.00107395491937284	2.24130116666578	3.48404053020149
Hyperlipoproteinemias	90	0.00107054714456118	2.22923147757027	3.46694073685119
Ophthalmoplegia	50	0.00106599443345715	2.2131066422733	3.4440957945164
Craniocerebral Trauma	47	0.00105884366496238	2.18777998270929	3.40821412089825
Fetal Death	47	0.00105661346027419	2.17988102262729	3.39702322906868
Lewy Body Disease	52	0.00105317502079629	2.16770272512655	3.37976956420846
Aneurysm, Ruptured	32	0.00105219209533596	2.16422139042404	3.37483736558054
Retinal Vein Occlusion	36	0.00103354463987922	2.09817565611821	3.28126673593457
Neuromuscular Diseases	778	0.00103090908470006	2.08884102182912	3.26804184537767
Community-Acquired Infections	49	0.00100819849631326	2.00840444483861	3.15408291624053
Immune Complex Diseases	50	0.0010064480421885	2.00220466984484	3.14529935351801
Essential Tremor	40	0.00100337340502698	1.99131489083302	3.12987120377372
Abruptio Placentae	33	0.00100174509503044	1.98554772706915	3.12170054520918
Skin Diseases, Metabolic	71	0.000998309424507661	1.97337923667986	3.10446077462394
Purpura, Schoenlein-Henoch	48	0.000981688638689388	1.91451158008972	3.02105972305238
Hearing Loss, Sudden	40	0.000980083661492546	1.90882705665673	3.0130061455965
Fetal Growth Retardation	65	0.000977891439513497	1.90106262409361	3.00200584631282
Hypertension, Renal	48	0.000961377588531178	1.842573710318	2.91914138054808
Polyneuropathies	136	0.000955372753855247	1.82130573000418	2.88900986137914
Hematuria	104	0.000938546061200078	1.76170879062943	2.80457559471711
Exfoliation Syndrome	43	0.000928203062885518	1.7250758612631	2.75267570591109
Peripheral Vascular Diseases	115	0.000925447082984248	1.71531470555294	2.7388465389638
Brain Injuries	43	0.000923259551612067	1.70756688622564	2.72786977656638
alpha 1-Antitrypsin Deficiency	36	0.000919029780954978	1.69258584446149	2.70664530953066
Sexual Dysfunctions, Psychological	33	0.000919021677596797	1.69255714391076	2.70660464787958
Angina, Unstable	95	0.000916313137007306	1.68296400920426	2.69301352554291
Leukoencephalopathies	36	0.000910643018680081	1.66288153042365	2.6645615716945
Antiphospholipid Syndrome	55	0.00090843934704019	1.65507654534334	2.65350381942606
Retinopathy of Prematurity	37	0.000907667480413783	1.65234274081728	2.64963068797372
Neuropsychology	61	0.000906062526838975	1.64665830104904	2.6415772290503
Intracranial Thrombosis	37	0.000900240842647861	1.62603900485655	2.61236473640613
Diabetic Neuropathies	74	0.000894618447040193	1.60612555085595	2.58415224927359
Hemolysis	56	0.000886954966369974	1.57898296245417	2.54569784924806
Cross Infection	37	0.000885322641252341	1.57320157789637	2.53750704330147
Hypopituitarism	42	0.000881812651097717	1.5607698615313	2.51989434597764
Autonomic Nervous System Diseases	34	0.000880776026219832	1.55709833372321	2.51469269030106
Femur Head Necrosis	55	0.000879783319472723	1.55358235556656	2.50971141038347
Pelvic Pain	38	0.000873925931830158	1.53283660455166	2.48031976222716
Gingival Diseases	50	0.000870592740914699	1.52103107740595	2.46359422166141
Polycystic Kidney Diseases	35	0.000865947406115536	1.50457818662851	2.44028450505787
Lysosomal Storage Diseases, Nervous System	73	0.00085730483137849	1.47396783358998	2.39691713186406
Pulmonary Embolism	88	0.000856310646712103	1.47044662092483	2.39192843592997
Cicatrix	55	0.000854973857295033	1.46571196750966	2.38522059164798
Liver Cirrhosis, Alcoholic	66	0.000852710986357785	1.45769730979743	2.37386578461293
Gaucher Disease	59	0.000848945673822389	1.44436129020656	2.35497191109931
Periodontal Attachment Loss	55	0.000840674390950724	1.41506598221253	2.31346763465383
Moyamoya Disease	36	0.000837894395381683	1.40521976758286	2.29951796005015
Peptic Ulcer	105	0.000829848188052706	1.37672163427713	2.25914308489463
Arthralgia	44	0.000821992731551538	1.34889910405951	2.21972537384683
Cholecystolithiasis	83	0.000821720227934315	1.34793394816774	2.21835798433337
Skin Ulcer	61	0.000821242258719081	1.34624107227543	2.21595959381169
Sexual Dysfunction, Physiological	41	0.000813947481168537	1.32040436007409	2.17935530052809
Speech Disorders	37	0.000810164822742815	1.30700690464461	2.16037438747797
Hyperhomocysteinemia	69	0.000809021020347219	1.30295577448945	2.15463492824748
Mental Status Schedule	85	0.00080780075559451	1.29863382923385	2.14851179034748
Enterobacteriaceae Infections	34	0.000807360743001134	1.29707538846424	2.14630386146893
Hypotension	58	0.000804421311226489	1.28666448117189	2.13155415566629
Iris Diseases	50	0.000800115683763008	1.27141476905259	2.10994904853984
Lipidoses	79	0.000794388878767156	1.25113151689228	2.08121264798564
Coronary Stenosis	172	0.000784804519928526	1.2171855440052	2.03311951842362
Acute Kidney Injury	47	0.000779295709057123	1.19767438549901	2.00547698547679
Geriatric Psychiatry	56	0.000777076344886476	1.18981382046469	1.99434049002609
Anemia, Iron-Deficiency	43	0.000776249584543276	1.18688559285271	1.99019190867895
Cholelithiasis	93	0.000773969240156417	1.1788090475112	1.97874942203068
Duodenal Ulcer	66	0.000769872508849077	1.16429920577571	1.95819253002966
Angina Pectoris	163	0.000765831010104135	1.14998498725271	1.93791278820886
Nephrosis	76	0.000762748011956395	1.13906559522074	1.92244268406782
Myocarditis	31	0.000762160331484876	1.13698414296208	1.91949377600483
Colonic Polyps	59	0.000761826813367649	1.13580288533647	1.91782022326196
Hepatitis, Toxic	54	0.00075998666504511	1.12928543058369	1.90858658612678
Dermatomycoses	31	0.000755375265862894	1.11295273329568	1.88544715426008
Asthenozoospermia	35	0.000754195489448197	1.10877419001904	1.87952718184235
Corneal Dystrophies, Hereditary	36	0.000752841695885246	1.10397931115897	1.87273401285531
Glomerulosclerosis, Focal Segmental	35	0.000752657915995041	1.10332839780367	1.87181182805199
Hernia	66	0.000746995262031401	1.08327235637668	1.84339732945866
Dyspnea	42	0.000744914173753774	1.07590153820956	1.83295468537041
Fragile X Syndrome	32	0.000744538450070913	1.07457079651195	1.83106935030902
Low Back Pain	54	0.000743880116297994	1.07223910372139	1.82776591270102
Cerebellar Diseases	100	0.000743354781091868	1.07037846651404	1.8251298454839
Lysosomal Storage Diseases	89	0.000742271075495204	1.06654018777038	1.81969194457212
Rheumatic Heart Disease	40	0.00074212306151218	1.06601595044379	1.8189492286761
Brain Infarction	168	0.000741442895405537	1.06360693168692	1.81553623911245
Back Pain	59	0.000740931111714727	1.06179429136483	1.81296817172638
Intestinal Polyps	61	0.000740898686359252	1.06167944693378	1.81280546529519
Polycythemia	69	0.000740135818506303	1.05897751434875	1.80897748857725
Acromegaly	41	0.00073981950011377	1.05785717487093	1.80739024192977
Anthracosis	33	0.000736444923669111	1.04590506806603	1.79045703388711
Bronchopulmonary Dysplasia	91	0.00073609857138064	1.04467835425118	1.78871908085718
Eye Infections, Bacterial	45	0.000734278347249	1.03823146718639	1.77958542085251
Glaucoma, Angle-Closure	36	0.000733340375707286	1.03490935069848	1.77487879543909
Atrophy	473	0.000729869928197474	1.02261768684723	1.7574645182258
Micronuclei, Chromosome-Defective	46	0.000727897344641179	1.01563117172954	1.7475663374354
Huntington Disease	74	0.000727421174522724	1.01394466789523	1.74517697455928
Ischemic Attack, Transient	41	0.000726786289521956	1.01169602618791	1.74199119999543
Radiation Pneumonitis	71	0.000726252812722992	1.00980655300995	1.73931427927044
Ocular Motility Disorders	74	0.000723862034188374	1.00133887095823	1.72731764770066
Leukoplakia	42	0.000723469190870035	0.999947494773579	1.7253464084217
Osteonecrosis	91	0.000720782837379755	0.990432942545145	1.71186661821009
Respiratory Distress Syndrome, Adult	60	0.000717384135590903	0.978395388367746	1.69481235216831
Plaque, Amyloid	70	0.000717058512603953	0.977242093789308	1.69317841621459
Periodontal Pocket	56	0.000716750610573846	0.97615156346361	1.69163340183484
Muscular Dystrophies	69	0.000716635973678865	0.975745541423491	1.69105816804657
Lipid Metabolism, Inborn Errors	197	0.000716154970458647	0.974041919663598	1.6886445532624
Awareness	114	0.000708379109225305	0.946501300719235	1.64962624144334
Child Behavior Disorders	34	0.000707107954044115	0.941999111262177	1.64324774165512
Peripheral Nervous System Diseases	357	0.000703689494606365	0.929891579256829	1.62609433417004
Hypertrophy, Left Ventricular	147	0.000702941531727997	0.927242437251909	1.62234114877469
Albuminuria	207	0.000702632877162519	0.926149241589309	1.62079235826534
Restless Legs Syndrome	57	0.000701173389090074	0.920980012914717	1.61346882727656
Liver Diseases, Alcoholic	96	0.000700104862622085	0.917195495752722	1.60810709335876
Duodenal Diseases	108	0.00069711278777055	0.906598136712184	1.59309323109453
Anemia, Hypochromic	48	0.000696889744082101	0.905808158464479	1.59197402539834
beta-Thalassemia	83	0.000694881851860694	0.898696586782361	1.5818986700849
Cerebellar Ataxia	83	0.00069010060921056	0.88176233629146	1.5579069846616
Periodontitis, Juvenile	80	0.000685393529110573	0.865090755422903	1.53428743776034
Space Perception	45	0.000683529874253927	0.85849004500505	1.52493584773865
Ductus Arteriosus, Patent	135	0.000683192167775714	0.85729395300284	1.52324127831736
Fetal Membranes, Premature Rupture	205	0.000682541328832547	0.854988805471264	1.51997544883991
Cerebral Infarction	174	0.000681926581372129	0.852811487095033	1.51689072196776
Amnesia	41	0.000680978468331642	0.849453451350736	1.51213320776537
Bile Duct Neoplasms	73	0.000679498123764307	0.844210352945057	1.50470502145975
Inhibition 	54	0.000679268704025228	0.843397791940855	1.50355382152855
Carotid Artery Diseases	270	0.000679141259899805	0.84294640913069	1.50291432263884
Endolymphatic Hydrops	49	0.000678159346146054	0.839468657700104	1.49798720062964
Meniere's Disease	49	0.000678159346146054	0.839468657700104	1.49798720062964
Consciousness Disorders	54	0.000677616154325842	0.837544775767902	1.49526153112724
Intracranial Aneurysm	101	0.000675951584376742	0.831649186160691	1.48690892459665
Chorioamnionitis	202	0.000675017653792682	0.82834138197486	1.48222257620993
Chest Pain	172	0.000674093897553675	0.825069613380676	1.47758728143077
Eclampsia	131	0.000673147518265507	0.821717718256764	1.4728384669835
Rheumatic Fever	44	0.000672082563342589	0.817945850826922	1.467494654638
Choreatic Disorders	81	0.000670240754070269	0.811422513306486	1.45825268306185
Aortic Aneurysm, Abdominal	132	0.000670010776807639	0.810607977660094	1.45709868554629
Fibromyalgia	45	0.000665140122944864	0.793357049689644	1.43265834569485
Plaque, Atherosclerotic	117	0.000664772258925618	0.792054145423048	1.4308124494553
Altitude Sickness	51	0.000664256063500318	0.790225879577966	1.42822224453014
Cocarcinogenesis	32	0.000663168420523826	0.786373655385149	1.42276458633241
Multiple Sclerosis, Chronic Progressive	45	0.000662632352249016	0.7844750036935	1.42007466190151
Intelligence Tests	102	0.00066230929211472	0.783330786250856	1.41845358602605
Cystitis	35	0.000662105052776192	0.782607409427757	1.41742873823656
Reperfusion Injury	52	0.000656892807317323	0.764146629107798	1.39127433392188
Polycythemia Vera	52	0.000656233393024671	0.761811109322219	1.38796547439925
Critical Illness	67	0.000653661792552562	0.752702990420119	1.37506150066775
Placenta Diseases	219	0.000652564655131251	0.74881713871274	1.36955620051791
Headache	172	0.000651773764879505	0.746015956130321	1.36558761086189
Medulloblastoma	31	0.000651392490443069	0.74466555472114	1.36367442280425
Helminthiasis	57	0.000650073235517734	0.739993005134821	1.35705456443733
Gallstones	132	0.000648512555716033	0.734465374635384	1.34922326584221
Gallbladder Neoplasms	102	0.000646459977579295	0.727195533955222	1.33892368212165
Bone Resorption	125	0.00064501039613784	0.722061392680074	1.33164986138431
Cholangiocarcinoma	93	0.000643117067937845	0.715355584933776	1.32214937418857
Bone Diseases, Infectious	31	0.00064201815090844	0.711463430193597	1.31663514418498
Idiopathic Interstitial Pneumonias	64	0.000641576626031033	0.709899633202086	1.31441962685185
Hepatitis, Autoimmune	41	0.000641423334235978	0.709356702870868	1.31365042754655
Digestive System Abnormalities	162	0.00064091303172263	0.707549308597139	1.31108979252615
Psychometrics	64	0.000640869041920729	0.707393505100233	1.31086905713029
Germinoma	42	0.0006395592632747	0.702754518689692	1.30429674956319
Neoplasms, Hormone-Dependent	43	0.00063406331352101	0.683288911811995	1.27671875211746
Behavior Therapy	38	0.000633441993614826	0.681088315085117	1.27360104552377
Embolism	157	0.000632787651256627	0.678770759125008	1.27031763634214
Gallbladder Diseases	149	0.000629350263253973	0.666596185749252	1.25306924765491
Diabetic Angiopathies	260	0.000622612655239466	0.642732861886375	1.21926076232631
Pneumoconiosis	89	0.000618582828371608	0.628459982928152	1.19903958854395
Biliary Tract Neoplasms	180	0.000617041761638646	0.623001818181288	1.19130670590674
Prenatal Exposure Delayed Effects	97	0.000616668572435222	0.621680053126945	1.18943408855031
Diabetic Retinopathy	202	0.000616422065904001	0.620806973960542	1.18819714920533
Sclerosis	1350	0.000615962850807576	0.619180521583807	1.18589286453684
Nephrotic Syndrome	100	0.000615582151392226	0.617832156789752	1.18398256186403
Muscular Disorders, Atrophic	70	0.000615202617476436	0.616487919973074	1.18207810752414
Mitochondrial Diseases	87	0.000614381321113804	0.613579044739208	1.17795694375701
Erythema Nodosum	60	0.000611525924947021	0.603465775558508	1.16362891826129
Lung Injury	159	0.000611381421799623	0.602953972942782	1.16290381930507
Migraine Disorders	245	0.000610624031059609	0.600271439248216	1.15910332606376
Nervous System Malformations	312	0.000610052649654901	0.598247715178721	1.15623620470607
Prosthesis Failure	39	0.000609598803454121	0.596640278407417	1.15395886049319
Conjunctivitis	66	0.000609585700526517	0.596593870334358	1.15389311161989
Low Tension Glaucoma	56	0.000607127563765414	0.587887618278269	1.1415584847843
Aortic Aneurysm	159	0.000606491079770499	0.585633313238337	1.1383646866652
Pulmonary Fibrosis	118	0.000606452830550348	0.585497841788232	1.13817275679996
Hypothyroidism	108	0.000606205610923954	0.584622236974593	1.13693223923142
Neurotoxicity Syndromes	165	0.000604297038259317	0.577862436239079	1.12735525719387
Migraine without Aura	160	0.000604252822190414	0.577705831347567	1.12713338641814
Calculi	132	0.000604177676408788	0.577439679306663	1.12675631416191
Leukocytosis	50	0.000602828799394388	0.572662213924806	1.1199878158086
Parasomnias	55	0.000602311016735892	0.570828326402165	1.1173896463432
Idiopathic Pulmonary Fibrosis	74	0.000602027588870426	0.569824478904533	1.11596744030054
Leiomyoma	91	0.000601821256465807	0.569093688840134	1.11493208976377
Seminoma	45	0.000601452426389689	0.567787362984158	1.11308134597007
Headache Disorders, Primary	250	0.000598833794514253	0.558512667812423	1.09994137446222
alpha-Thalassemia	46	0.00059443562997271	0.542935206993826	1.0778719277008
Paraparesis, Tropical Spastic	35	0.000593789765883536	0.540647679447228	1.07463106142658
Hemophilia A	81	0.000593604542323283	0.539991652887677	1.07370163246517
Cognition Disorders	443	0.000593245256204756	0.538719129911068	1.07189877907256
Drug Eruptions	91	0.000593235836216901	0.538685766108889	1.07185151073631
Keratoconus	51	0.000592777378266158	0.537061995397896	1.06955102533138
Hearing Loss, Noise-Induced	39	0.000592511003851204	0.536118547972767	1.06821439139832
Hemophilia B	76	0.000587717492236717	0.519140843147749	1.04416114182638
Intracranial Arterial Diseases	270	0.000586732744275536	0.515653053494452	1.03921979811415
Chorea	35	0.000586646529412669	0.515347696876797	1.03878718257462
Lymphoma, Mucosa-Associated Lymphoid Tissue	37	0.00058439410252416	0.507370029995287	1.02748478248694
Coronary Aneurysm	40	0.000583423694344254	0.503933029115091	1.02261539402705
Sarcoma, Kaposi	35	0.000581725821088649	0.497919485541558	1.01409567561536
Collagen Diseases	55	0.000579039787497225	0.488406066333924	1.00061749061673
Migraine with Aura	176	0.000578368757210237	0.486029404909616	0.997250343468393
Cerebral Arterial Diseases	280	0.000577699038006679	0.483657387093012	0.993889775174862
Carcinoma, Transitional Cell	120	0.000577137162868598	0.481667332408673	0.991070355089665
Iron Overload	128	0.000576466472618252	0.479291875329361	0.987704914203218
Multiple Organ Failure	54	0.000575554076347844	0.476060341579527	0.983126622344216
Infertility, Female	142	0.000574852825227694	0.473576643722172	0.979607830785523
Infratentorial Neoplasms	37	0.000573700871713179	0.469496643856839	0.973827470246463
Pregnancy Complications, Hematologic	155	0.000573383487119582	0.468372528097982	0.972234873533643
Delayed Graft Function	73	0.00057259384709296	0.465575773574747	0.968272557352972
Dyspepsia	78	0.000570590349401091	0.458479766478956	0.958219253246292
Limb Deformities, Congenital	83	0.000570035132874558	0.456513295328046	0.955433245251904
Hemolytic-Uremic Syndrome	71	0.000567856531094451	0.448797102914505	0.944501290445237
Shock, Septic	65	0.000566817162560604	0.445115857599751	0.939285867441719
Abortion, Habitual	213	0.000566637897783393	0.4444809359144	0.938386338918058
Arteritis	96	0.000564209468925143	0.435879903589934	0.926200782671853
Cranial Nerve Diseases	218	0.000563951619038084	0.434966648418415	0.924906923767495
Dyskinesias	144	0.000562219928401256	0.42883333012386	0.91621751391124
Conjunctival Diseases	84	0.000562061153570164	0.428270979923689	0.915420801407933
Melanosis	38	0.000560051618674562	0.421153590202553	0.905337203358155
Executive Function	142	0.000556982341145454	0.410282793987566	0.889935947587733
Carcinoma, Endometrioid	71	0.000556681866904215	0.409218571474814	0.888428204935641
Alveolar Bone Loss	56	0.000553642127028917	0.398452392001781	0.873175165465925
Carcinoma, Adenosquamous	33	0.000553434214401337	0.397716005088735	0.872131885565398
Hallucinations	73	0.000552034793349969	0.392759522358153	0.865109763473723
Prostatic Hyperplasia	133	0.000549545847925519	0.383944151886497	0.852620542568467
Pancreatitis	162	0.00054909683403206	0.382353830227021	0.850367446277225
Ascites	70	0.000547238012215145	0.375770237515051	0.841040107852322
Guillain-Barre Syndrome	36	0.000547010458317259	0.374964284964854	0.83989827048191
Myelofibrosis	57	0.000544314411619808	0.36541540124348	0.826369840953249
Hypertriglyceridemia	198	0.000544132256239257	0.364770241591852	0.825455807738848
Carcinoma, Lobular	90	0.000544006467896959	0.364324723250037	0.824824617364471
Meningitis	93	0.000542151912794816	0.357756242428845	0.815518688787609
Myositis	263	0.000542074428399339	0.357481807463259	0.815129881655754
Myotonic Dystrophy	43	0.000539983061711197	0.350074585124455	0.804635661772299
Neuropsychological Tests	426	0.000538942485300618	0.346389061740451	0.799414177792436
Glomerulonephritis, IGA	216	0.000538038235039543	0.343186379603607	0.794876761602729
Cadaver	95	0.000538004871215429	0.343068211295445	0.794709346051745
Choroid Diseases	102	0.000537467634109485	0.341165419826618	0.792013556570495
Mucositis	64	0.000537052584095328	0.339695391756451	0.789930886833099
Brain Diseases, Metabolic, Inborn	150	0.000536945986319196	0.339317842743592	0.789395992350864
Enterocolitis	32	0.000533686435669621	0.327773135388878	0.773039969549195
Hyperandrogenism	77	0.000533387179090501	0.326713225603349	0.771538336975309
Intestinal Obstruction	32	0.000531348497120947	0.319492602499701	0.761308482506344
Glucose Intolerance	160	0.00053130844924053	0.319350760537635	0.761107527185909
Esophageal Achalasia	33	0.000530522044358329	0.316565464279541	0.757161444560594
Mandibular Diseases	61	0.000530143275853751	0.31522393840354	0.755260830959684
Retinal Detachment	45	0.000528296752951739	0.308683906104829	0.74599520697159
Auditory Perception	51	0.000528055299170352	0.307828722815635	0.744783621701569
Iron Metabolism Disorders	146	0.000527101188707772	0.304449445344982	0.739996013175434
Osteosarcoma	118	0.000526824987049586	0.303471191696721	0.738610067348904
Choroidal Neovascularization	92	0.0005256610553913	0.299348767528363	0.732769601962982
Hip Fractures	65	0.000524273138116785	0.294433028983566	0.725805204403531
Pneumonia	168	0.000523612464955865	0.292093050526434	0.72249002803532
Respiratory Distress Syndrome, Newborn	58	0.000522737152839731	0.288992861785351	0.718097819884811
Gastroesophageal Reflux	99	0.000522589043719821	0.28846828750204	0.717354626603648
Corneal Diseases	130	0.000522070701404867	0.286632417782851	0.714753648851217
Oropharyngeal Neoplasms	54	0.000521586053416255	0.284915886947751	0.71232174506916
Adenocarcinoma, Clear Cell	41	0.000521105120809807	0.283212515288373	0.709908484616168
Abscess	32	0.000521074966989344	0.28310571620154	0.709757176467267
Brain Ischemia	413	0.000521046013467997	0.283003168345477	0.709611891271161
Hypertension, Pulmonary	111	0.000520722667828189	0.281857939696705	0.707989382764283
Chlamydia Infections	64	0.000519352054220866	0.277003487444216	0.701111812870846
Fetal Diseases	317	0.000518989109597788	0.275718006741549	0.699290601554013
Aortic Diseases	180	0.000518241417243702	0.273069822882095	0.695538773616118
Pulmonary Emphysema	65	0.000518232734124487	0.273039068928238	0.695495202795734
Hypoxia-Ischemia, Brain	417	0.000516392934535029	0.266522849321594	0.686263315560116
Acidosis	39	0.000514907275246733	0.261260927186889	0.678808460640758
Adrenocortical Hyperfunction	41	0.000514581298388742	0.260106379264645	0.677172749005838
Prion Diseases	38	0.000514301895984587	0.259116789184002	0.675770742231132
Optic Nerve Diseases	146	0.000513977721587633	0.257968625235328	0.674144075123205
Kidney Diseases, Cystic	60	0.000513721911538793	0.257062594782129	0.672860451875235
Primary Myelofibrosis	47	0.000513097259071677	0.254850194759385	0.669726022902149
Cardiomegaly	257	0.000512968062728191	0.254392605926692	0.669077731598492
Hyperbilirubinemia	66	0.000512859145171765	0.254006840694023	0.668531196745095
Rupture	285	0.000511647102004311	0.249714014726934	0.662449313745035
Pituitary Diseases	121	0.000510937374455382	0.247200294973866	0.658887988513054
Diseases in Twins	135	0.000510794414383958	0.246693957639234	0.658170632521592
Folic Acid Deficiency	45	0.000510507458978844	0.245677616268278	0.656730725720416
Parasitemia	52	0.000508154269197176	0.237343066417672	0.644922709873008
Graves Ophthalmopathy	74	0.000505395424091128	0.227571762698103	0.631079165681823
Acute Lung Injury	50	0.000504794664300428	0.225443985982926	0.62806462720969
HIV Seropositivity	73	0.000504243907239339	0.223493309408949	0.625300996262421
Heredodegenerative Disorders, Nervous System	435	0.000503985878290518	0.222579420034789	0.624006238848248
Alcohol-Induced Disorders	141	0.000503690399178371	0.221532889317553	0.622523561137344
Cardiomyopathy, Dilated	142	0.000503272359574761	0.220052272691153	0.620425890009108
Abdominal Pain	66	0.00050259588470213	0.21765632758186	0.617031422602088
Hearing Loss, Sensorineural	162	0.000502595070154133	0.217653442608051	0.617027335300787
Anemia, Sickle Cell	144	0.000501943534340155	0.215345826892837	0.613758009011617
Anaphylaxis	36	0.000501901691298155	0.215197626810478	0.613548045791954
Angina Pectoris, Variant	47	0.000501695463883398	0.214467208600164	0.612513222081349
Adenomatous Polyps	135	0.000501137355714263	0.212490495802104	0.609712704181325
Familial Mediterranean Fever	73	0.000500163753423127	0.209042181988511	0.604827288065567
End Stage Liver Disease	54	0.000499622176427536	0.20712401945744	0.602109721553784
Hyperaldosteronism	33	0.000499326403753181	0.206076448998796	0.600625570783956
Postoperative Complications	308	0.00049895155527989	0.204748807126727	0.598744627416159
Genetic Diseases, X-Linked	183	0.000498712471056838	0.20390201636168	0.597544932297365
Severe Acute Respiratory Syndrome	40	0.000497558517925357	0.199814934234044	0.591754537927202
Interview, Psychological	48	0.000497476757818291	0.199525355512664	0.591344275802383
Carcinoma, Ductal, Breast	162	0.000496908713307865	0.197513450086934	0.588493898568299
Cataract	133	0.000496332734828607	0.195473444055272	0.585603709657986
Heart Septal Defects, Ventricular	48	0.000496186138318697	0.194954227148378	0.584868106467083
Hypertrophy	290	0.000495985645178014	0.194244118644278	0.583862056635947
Atrial Fibrillation	207	0.000495972730880984	0.194198378664775	0.583797254287589
Epilepsies, Myoclonic	34	0.000493549287395406	0.185615003580439	0.571636714026051
Barrett Esophagus	78	0.000490823226229154	0.175959814329269	0.557957675597929
Geographic Atrophy	78	0.000489881067658337	0.172622868182033	0.553230040189324
Leukemia, Lymphocytic, Acute, L1	41	0.000489196970322642	0.170199925760882	0.549797324203561
Gastritis, Atrophic	83	0.000488873077243202	0.169052758185242	0.548172068712191
Hyperuricemia	114	0.00048868204677087	0.168376164649507	0.547213501382771
Obstetric Labor Complications	392	0.000488365041503997	0.167253392393634	0.545622808084631
Obstetric Labor, Premature	372	0.00048808323138904	0.166255274660075	0.544208719714329
Aneurysm	265	0.000487738988517812	0.16503603199919	0.542481351479737
Reaction Time	99	0.000487471075316729	0.164087134486779	0.541136996107826
Pre-Eclampsia	382	0.000486497667266403	0.160639508637123	0.536252554668472
AIDS-Related Opportunistic Infections	42	0.000486001075296211	0.158880674494962	0.5337607174612
HTLV-I Infections	50	0.000484353766694761	0.153046221292305	0.525494726242379
Coagulation Protein Disorders	93	0.000484169877668529	0.152394921397987	0.52457199380795
Myelitis	43	0.000483976741336552	0.15171086930862	0.523602859534775
Neoplasms, Bone Tissue	93	0.000483293899121081	0.149292372284166	0.52017644158737
Optic Atrophy	63	0.000482221429973659	0.145493890902824	0.514794923790855
Obesity, Abdominal	108	0.00048156318609324	0.143162516494373	0.511491937252329
Endometriosis	246	0.000480879920402954	0.140742519602811	0.508063394360578
Personality Assessment	50	0.000480548529102932	0.139568794758511	0.506400513723901
Glaucoma, Open-Angle	211	0.000480000887138573	0.137629151263632	0.503652513947501
Polymyalgia Rheumatica	35	0.000479513139871117	0.135901643373372	0.501205058366775
